EventId,Disaster,Cost ($M),No. of Deaths,Duration,Start Day,Start Month,Start Year,End Day,End Month,End Year
Event137,Severe Storm,12879.8,321,3,25,4,2011,28,4,2011
Event138,Severe Storm,11461.8,177,5,22,5,2011,27,5,2011
Event139,Flooding,3762.2,7,60,1,4,2011,31,5,2011
Event140,Severe Storm,1937.1,3,4,18,6,2011,22,6,2011
Event141,Flooding,2523,5,60,1,5,2011,30,6,2011
Event142,Severe Storm,1543.7,2,4,10,7,2011,14,7,2011
Event143,Severe Storm,1450.8,0,1,17,8,2011,18,8,2011
Event144,Tropical Cyclone,17002.5,45,2,26,8,2011,28,8,2011
Event145,Drought,15075.6,95,183,1,3,2011,31,8,2011
Event146,Tropical Cyclone,3165.9,21,4,1,9,2011,5,9,2011
Event147,Wildfire,2294.1,5,182,1,6,2011,30,11,2011
Event148,Severe Storm,3848.5,42,1,2,3,2012,3,3,2012
Event149,Severe Storm,1248.8,0,1,2,4,2012,3,4,2012
Event150,Severe Storm,1382,6,1,13,4,2012,14,4,2012
Event151,Severe Storm,4029.8,1,3,28,4,2012,1,5,2012
Event152,Severe Storm,2833.6,1,5,25,5,2012,30,5,2012
Event153,Severe Storm,3195.3,0,6,6,6,2012,12,6,2012
Event154,Severe Storm,3552.8,28,3,29,6,2012,2,7,2012
Event155,Tropical Cyclone,3399.1,9,5,26,8,2012,31,8,2012
Event156,Tropical Cyclone,79998.5,159,1,30,10,2012,31,10,2012
Event157,Wildfire,2138.5,8,182,1,6,2012,30,11,2012
Event158,Drought,36904.3,123,365,1,1,2012,31,12,2012
Event159,Severe Storm,1106.4,1,1,24,2,2013,25,2,2013
Event160,Severe Storm,2444.2,1,0,18,3,2013,18,3,2013
Event161,Severe Storm,1747.3,1,4,7,4,2013,11,4,2013
Event162,Flooding,1303.3,4,3,16,4,2013,19,4,2013
Event163,Severe Storm,2904.3,27,4,18,5,2013,22,5,2013
Event164,Severe Storm,2194.4,10,4,27,5,2013,31,5,2013
Event165,Severe Storm,1260.8,0,1,6,8,2013,7,8,2013
Event166,Flooding,1825.3,9,6,10,9,2013,16,9,2013
Event167,Severe Storm,1319.5,8,0,17,11,2013,17,11,2013
Event168,Drought,12615.3,53,274,1,3,2013,30,11,2013
Event169,Winter Storm,2585.5,16,3,5,1,2014,8,1,2014
Event170,Severe Storm,1694.5,0,1,2,4,2014,3,4,2014
Event171,Severe Storm,1074,0,1,12,4,2014,13,4,2014
Event172,Severe Storm,2065.9,33,4,27,4,2014,1,5,2014
Event173,Severe Storm,4418.9,0,5,18,5,2014,23,5,2014
Event174,Severe Storm,2283.9,2,2,3,6,2014,5,6,2014
Event175,Flooding,1227.7,2,2,11,8,2014,13,8,2014
Event176,Severe Storm,1666.5,0,3,29,9,2014,2,10,2014
Event177,Drought,4702.6,0,364,1,1,2014,31,12,2014
Event178,Winter Storm,3525,30,6,14,2,2015,20,2,2015
Event179,Severe Storm,1851.2,2,2,7,4,2015,9,4,2015
Event180,Severe Storm,1527.9,0,2,18,4,2015,20,4,2015
Event181,Severe Storm,1104.7,3,1,24,4,2015,25,4,2015
Event182,Severe Storm,1513.8,4,4,6,5,2015,10,5,2015
Event183,Flooding,2975.5,31,3,23,5,2015,26,5,2015
Event184,Severe Storm,1394.7,1,4,21,6,2015,25,6,2015
Event185,Flooding,2377.8,25,4,1,10,2015,5,10,2015
Event186,Wildfire,3603.3,12,182,1,6,2015,30,11,2015
Event187,Severe Storm,2334.8,50,3,26,12,2015,29,12,2015
Event188,Drought,5314.7,0,364,1,1,2015,31,12,2015
Event189,Severe Storm,1216.8,10,2,22,2,2016,24,2,2016
Event190,Flooding,2684.9,5,4,8,3,2016,12,3,2016
Event191,Severe Storm,1416,1,1,17,3,2016,18,3,2016
Event192,Severe Storm,2415.8,0,1,23,3,2016,24,3,2016
Event193,Severe Storm,4093.4,0,2,10,4,2016,12,4,2016
Event194,Flooding,3130.9,8,1,17,4,2016,18,4,2016
Event195,Severe Storm,2801.8,6,6,26,4,2016,2,5,2016
Event196,Severe Storm,2011.8,2,3,8,5,2016,11,5,2016
Event197,Severe Storm,1341.1,0,5,21,5,2016,26,5,2016
Event198,Flooding,1133.5,23,2,22,6,2016,24,6,2016
Event199,Severe Storm,1714.9,0,2,28,7,2016,30,7,2016
Event200,Flooding,11700,13,3,12,8,2016,15,8,2016
Event201,Tropical Cyclone,11700,49,4,8,10,2016,12,10,2016
Event202,Drought,4029.1,0,365,1,1,2016,31,12,2016
Event203,Wildfire,2802.3,21,213,1,6,2016,31,12,2016
Event204,Severe Storm,1259.7,24,2,20,1,2017,22,1,2017
Event205,Flooding,1710,5,14,8,2,2017,22,2,2017
Event206,Severe Storm,2058.7,6,1,28,2,2017,1,3,2017
Event207,Severe Storm,2480.6,2,2,6,3,2017,8,3,2017
Event208,Freeze,1140,0,2,14,3,2017,16,3,2017
Event209,Severe Storm,3072.3,0,2,26,3,2017,28,3,2017
Event210,Flooding,1891.3,20,12,25,4,2017,7,5,2017
Event211,Severe Storm,3819,0,3,8,5,2017,11,5,2017
Event212,Severe Storm,2679,0,2,9,6,2017,11,6,2017
Event213,Severe Storm,1720.2,0,4,12,6,2017,16,6,2017
Event214,Severe Storm,1624.5,0,2,27,6,2017,29,6,2017
Event215,Tropical Cyclone,141250,89,6,25,8,2017,31,8,2017
Event216,Tropical Cyclone,56500,97,6,6,9,2017,12,9,2017
Event217,Tropical Cyclone,101700,2981,2,19,9,2017,21,9,2017
Event218,Wildfire,20345.7,54,213,1,6,2017,31,12,2017
Event219,Drought,2825,0,305,1,3,2017,31,12,2017
Event220,Winter Storm,1168.1,22,2,3,1,2018,5,1,2018
Event221,Winter Storm,2457.3,9,2,1,3,2018,3,3,2018
Event222,Severe Storm,1626.2,0,3,18,3,2018,21,3,2018
Event223,Severe Storm,1463.2,3,3,13,4,2018,16,4,2018
Event224,Severe Storm,1556.8,0,3,1,5,2018,4,5,2018
Event225,Severe Storm,1520.9,5,2,13,5,2018,15,5,2018
Event226,Severe Storm,1430,0,0,6,6,2018,6,6,2018
Event227,Severe Storm,2445.3,0,1,18,6,2018,19,6,2018
Event228,Severe Storm,1743.5,0,3,19,7,2018,22,7,2018
Event229,Severe Storm,1127.5,0,1,6,8,2018,7,8,2018
Event230,Tropical Cyclone,26400,53,3,13,9,2018,16,9,2018
Event231,Tropical Cyclone,27472.5,49,1,10,10,2018,11,10,2018
Event232,Drought,3289,0,212,1,6,2018,30,12,2018
Event233,Wildfire,26400,106,213,1,6,2018,31,12,2018
Event234,Severe Storm,1361.1,2,2,23,2,2019,25,2,2019
Event235,Severe Storm,1673.2,0,2,22,3,2019,24,3,2019
Event236,Flooding,11692.6,3,17,14,3,2019,31,3,2019
Event237,Severe Storm,1364.7,7,1,13,4,2019,14,4,2019
Event238,Severe Storm,1650.5,0,6,7,5,2019,13,5,2019
Event239,Severe Storm,1060.6,0,2,16,5,2019,18,5,2019
Event240,Severe Storm,4902.9,3,3,26,5,2019,29,5,2019
Event241,Flooding,3297.3,5,25,20,5,2019,14,6,2019
Event242,Severe Storm,1088.6,0,1,4,7,2019,5,7,2019
Event243,Flooding,6724.4,4,138,15,3,2019,31,7,2019
Event244,Tropical Cyclone,1738.8,10,9,28,8,2019,6,9,2019
Event245,Tropical Cyclone,5400,5,4,17,9,2019,21,9,2019
Event246,Severe Storm,1855.5,2,0,20,10,2019,20,10,2019
Event247,Wildfire,4905,3,182,1,6,2019,30,11,2019
Event248,Severe Storm,1240.9,10,2,10,1,2020,12,1,2020
Event249,Severe Storm,1344.3,3,2,5,2,2020,7,2,2020
Event250,Severe Storm,2522.8,25,2,2,3,2020,4,3,2020
